titolare	domanda_id	database
GIANOTTI GIOVANNI ALDO	584	itapat_1990_58
GIANOTTI GIOVANNI ALDO	491	itapat_1990_62
CONTI LUIGI	73	itapat_1990_3
GIANOTTI GIOVANNI ALDO	16	itapat_1990_62
PRASSO ANACLETO AD ASTI E CORBANI MARIO A LA SPEZIA	3130	itapat_1971_1
ANOBILE GIOVANNI	446	itapat_1990_71
MURATORE LORENZO AD ASTI	5946	itapat_1968_2
GIANOTTI GIOVANNI ALDO	392	itapat_1990_35
ANOBILE GIOVANNI	331	itapat_1990_65
SOLMAR S.A.S. DI LUISA MARIA MARTINS	675	itapat_1990_165
ANOBILE GIOVANNI	255	itapat_1990_58
ANOBILE GIOVANNI	404	itapat_1990_61
SEL. PRESS. ITALIA SAS DI ANOBILE GIOVANNI & C.	587	itapat_1990_133
GIANOTTI GIOVANNI ALDO	641	itapat_1990_36
CARRINO ANTONIO E CHIESA MAURIZIO A SARDINO (ORTA DI ATELLA) CASERTA	53	itapat_1981_2
PROSPERI CESARE	460	itapat_1990_134
AMBROSINI SERGIO	60	itapat_1990_76
AMBROSINI SERGIO	145	itapat_1990_186
